,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,The Sahaja Marriage list,,We have to spend so much time to find somebody for you,"  Some people also are getting married. I must tell them they better decide now‚ because I've seen that so many of you start thinking after the marriage‚ which is very cruel‚ which is very indecent. So better to decide now. Actually those who do not want to marry should not give us their names‚ should not. Because you don't know how much time we have to spend in sorting out these things to find out somebody for you. It's such a waste of time. And when we fix it up‚ we do it then suddenly somebody comes up: ""Ah‚ I don't want to get married"". Surprising. They have no shame about it‚ they don't understand. How much you have made Me work for that‚ how much I have gone through it and then suddenly you come and say: ""No we don't want to get married"". Such people should not apply for marriage. Next time if somebody does that I'll forbid that person to come to India‚ I must tell you. For days together you know we used to sleep at two o'clock three o'clock discussing whom to marry whom. Ah if you don't like particular person I can understand‚ but you shouldn't say I don't want to marry. You don't know yourself‚ you're such an uncertain quantity‚ are you mad or crazy‚ what's the matter? So if you do not want to marry please decide before filling the forms   ...""",https://www.amruta.org/p/11443,,,,,,,,,,Marriages,,,,,,,,,,,,,,,,,,,,,,,,,,
10,The Sahaja Marriage list,,," But it's not just a play‚ a game‚ marriage is a serious thing. Stupid people should never get married. They make a mess of themselves and others also. It's meant for very sensible‚ dignified‚ intelligent people   ...""",https://www.amruta.org/p/11443,,,,,,,,,,Marriages,,,,,,,,,,,,,,,,,,,,,,,,,,
20,The Sahaja Marriage list,,Everyone of you should take it very seriously,"  It's not‚ you see these people have no sense how much I have to work hard for them to find out a boy‚ according to the age‚ height‚ aptitudes‚ this that‚ study all that‚ and then suddenly they say: ""I'm not ready."" This I can't understand really. You must have some consideration for Me also sometimes‚ please. Show some consideration‚ not all the time try to exact‚ things like this‚ you are Sahaja Yogis. I've given you Realization. I don't want anything from you. But don't torture Me like this all the time. All such people who behave like this are out of marriage list. I will not have their marriages arranged again‚ I tell you. I'm not going to go through this kind of a nonsense. Sometimes I must also put down My foot. I'm sixtyeight years of age and how much we have to work. If she doesn't like a particular person is all right‚ but you must have some concrete reason why you don't like. So take it little seriously‚ everyone of you should take it very seriously      ",https://www.amruta.org/p/11443,,,,,,,,,,Marriages,,,,,,,,,,,,,,,,,,,,,,,,,,
30,The Sahaja Marriage list,,There must be some reason why Mother has selected this person,"  Such a thought was given‚ and suddenly you say: ""No"". For what? For why? If you start thinking about it‚ immediately your vibrations will stop‚ everything will stop. If Mother has selected‚ at least you must know that there must be some reason why Mother has selected. Why don't you think like that‚ instead of thinking something else? There must be some reason      ",https://www.amruta.org/p/11443,,,,,,,,,,Marriages,,,,,,,,,,,,,,,,,,,,,,,,,,
40,The Sahaja Marriage list,,After the announcement‚ meet each other‚ talk to each other‚ find out,  I would advise that you people should meet each other‚ talk to each other‚ find out; and really this is the time you can decide … So whatever has been decided by us is not final at all    ,https://www.amruta.org/p/11363,,,,,,,,,,Marriages,,,,,,,,,,,,,,,,,,,,,,,,,,
50,The Sahaja Marriage list,,Try to be nice to each other and see the good points of each other,"  Your desire is the final. You can talk to each other‚ be kind. In the beginning there's no need to fight; we have the whole life left! I must tell you‚ whatever is your first impression is the best. So need not be artificial but try to be nice to each other and see the good points of each other. Nobody's perfect in this world. Now‚ those who really do not think that it's all right for them should absolutely‚ without any hesitation‚ let us know about it….""",https://www.amruta.org/p/11363,,,,,,,,,,Marriages,,,,,,,,,,,,,,,,,,,,,,,,,,
60,The Sahaja Marriage list,,I really don't like divorces. But it is allowed in Sahaja Yoga," I have seen a very interesting thing about the Western and the Eastern mind. The Western mind will say‚ ""Mother I am surrendered to You – who so ever I marry‚ I will marry even the lamppost"". And when actual marriage takes place‚ then they start thinking‚ ""It may not work out‚ now I've started thinking Mother that this won't work out and this and that‚ that and that"". And then I find Myself in great difficulties to really to cope with‚ this kind of a thing‚ I really don't like divorces. But it is allowed in Sahaja Yoga‚ I must say‚ it is allowed. We don't say that we should not have divorce because there should be a chance for some people to get out of a nonsense if there is any      ",https://www.amruta.org/p/43722,,,,,,,,,,Marriages,,,,,,,,,,,,,,,,,,,,,,,,,,
70,The Sahaja Marriage list,,If they are bad in vibrations or catching‚ don't hide it‚ don't tolerate it,  So for all purposes you should also see that your wife or the husband or the future brides and bridegrooms anyone of you‚ you find them especially bad in vibrations or in the Chakras catching or something then you better report it. Don't hide it and don't tolerate it. So there is no problem. We have tried to scrutinize everything‚ I am sorry some people could not get married but we will try to make something next year. We will talk to them also      ,https://www.amruta.org/p/43722,,,,,,,,,,Marriages,,,,,,,,,,,,,,,,,,,,,,,,,,
